Tekanan,Encoder,Delay,Pot
49.33,0,150,4
46.15,0,150,2
31.99,0,150,1
31.01,0,150,1
46.40,0,100,4
45.54,0,100,4
37.85,0,100,1
37.24,0,100,1
39.93,0,90,1
39.93,0,90,1
48.11,0,110,4
47.01,0,110,4
45.05,0,110,4
42.98,0,110,2
50.06,0,160,4
46.76,0,160,4
45.42,0,160,4
42.74,0,160,2
32.11,0,160,1
46.40,0,100,4
45.54,0,100,4
37.85,0,100,1
37.24,0,100,1
39.93,0,90,1
39.93,0,90,1
48.11,0,110,4
47.01,0,110,4
45.05,0,110,4
42.98,0,110,2
48.11,0,130,4
43.35,0,130,2
34.07,0,130,1
47.50,0,140,4
46.28,0,140,4
43.83,0,140,2
42.86,0,140,2
33.21,0,140,1
50.06,0,160,4
46.76,0,160,4
45.42,0,160,4
42.74,0,160,2
32.11,0,160,1
48.96,0,160,4
44.20,0,120,2
43.10,0,120,2
46.89,0,120,4
45.67,0,120,2
43.59,0,120,2
42.74,0,120,2
